College,Course,Category,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,GN PWD,224183.0,,,559326.0,559326.0
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,OBC,,13049.0,14220.0,14056.0,14056.0
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,OBC PWD,,,541992.0,,
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,SC,59467.0,69380.0,77300.0,91192.0,91192.0
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,SC PWD,,816559.0,,,
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,ST,60685.0,73449.0,78501.0,91639.0,91639.0
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,ST PWD,,812935.0,,,
BPS Govt. Med. College,MBBS,EWS,,9078.0,11697.0,11495.0,11495.0
BPS Govt. Med. College,MBBS,GN,5633.0,8096.0,8780.0,8396.0,8396.0
BPS Govt. Med. College,MBBS,GN PWD,348929.0,,,386312.0,386312.0
BPS Govt. Med. College,MBBS,OBC,,10596.0,11568.0,12096.0,12096.0
BPS Govt. Med. College,MBBS,OBC PWD,,508856.0,,487275.0,487275.0
BPS Govt. Med. College,MBBS,SC,37278.0,54540.0,60289.0,65785.0,65785.0
BPS Govt. Med. College,MBBS,ST,70275.0,86224.0,95673.0,70131.0,70131.0
BUNDELKHAND MEDICAL COLLEGE,MBBS,EWS,,8465.0,10774.0,11643.0,11643.0
BUNDELKHAND MEDICAL COLLEGE,MBBS,GN,8485.0,7971.0,8569.0,8986.0,8986.0
BUNDELKHAND MEDICAL COLLEGE,MBBS,OBC,,9309.0,10289.0,10284.0,10284.0
BUNDELKHAND MEDICAL COLLEGE,MBBS,OBC PWD,,,,818616.0,818616.0
